Time,Seq,Temp_Keg,Temp_Column,Pressure,Rate,State
2024-01-01T00:00:00+00:00,1,"77,38","76,13","970,24",40,2
2024-01-01T00:00:10+00:00,2,"77,38","76,19","970,24",40,2
2024-01-01T00:00:20+00:00,3,"77,38","76,19","970,25",40,2
2024-01-01T00:00:30+00:00,4,"77,38","76,19","970,24",40,2
2024-01-01T00:00:40+00:00,5,"77,38","76,19","970,25",40,2
2024-01-01T00:00:50+00:00,6,"77,38","76,19","970,24",40,2
2024-01-01T00:01:00+00:00,7,"77,38","76,19","970,22",40,2
2024-01-01T00:01:10+00:00,8,"77,38","76,19","970,22",40,2
2024-01-01T00:01:19+00:00,9,"77,44","76,25","970,21",40,2
2024-01-01T00:01:30+00:00,10,"77,44","76,25","970,22",40,2
2024-01-01T00:01:40+00:00,11,"77,44","76,25","970,23",40,2
2024-01-01T00:01:50+00:00,12,"77,5","76,25","970,24",40,2
2024-01-01T00:02:00+00:00,13,"77,56","76,31","970,24",40,2
2024-01-01T00:02:10+00:00,14,"77,56","76,31","970,24",40,2
2024-01-01T00:02:19+00:00,15,"77,63","76,31","970,24",40,2
2024-01-01T00:02:29+00:00,16,"77,69","76,31","970,26",40,2
2024-01-01T00:02:39+00:00,17,"77,69","76,31","970,26",40,2
2024-01-01T00:02:49+00:00,18,"77,75","76,38","970,26",40,2
2024-01-01T00:02:59+00:00,19,"77,81","76,38","970,26",40,2
2024-01-01T00:03:09+00:00,20,"77,81","76,38","970,27",40,2
2024-01-01T00:03:19+00:00,21,"77,88","76,44","970,28",40,2
2024-01-01T00:03:29+00:00,22,"77,88","76,44","970,26",40,2
2024-01-01T00:03:39+00:00,23,"77,94","76,44","970,25",40,2
2024-01-01T00:03:49+00:00,24,"77,94","76,44","970,24",40,2
2024-01-01T00:03:59+00:00,25,78,"76,5","970,23",40,2
2024-01-01T00:04:09+00:00,26,78,"76,5","970,25",40,2
2024-01-01T00:04:19+00:00,27,"78,06","76,5","970,25",40,2
2024-01-01T00:04:29+00:00,28,"78,06","76,5","970,25",40,2
2024-01-01T00:04:39+00:00,29,"78,13","76,56","970,24",40,2
2024-01-01T00:04:49+00:00,30,"78,13","76,56","970,23",40,2
2024-01-01T00:04:59+00:00,31,"78,19","76,56","970,22",40,2
2024-01-01T00:05:09+00:00,32,"78,19","76,56","970,22",40,2
2024-01-01T00:05:19+00:00,33,"78,19","76,63","970,21",40,2
2024-01-01T00:05:29+00:00,34,"78,25","76,63","970,2",40,2
2024-01-01T00:05:39+00:00,35,"78,25","76,63","970,17",40,2
2024-01-01T00:05:49+00:00,36,"78,31","76,63","970,17",40,2
2024-01-01T00:05:59+00:00,37,"78,31","76,63","970,17",40,2
2024-01-01T00:06:09+00:00,38,"78,38","76,63","970,18",40,2
2024-01-01T00:06:19+00:00,39,"78,38","76,69","970,19",40,2
2024-01-01T00:06:29+00:00,40,"78,44","76,69","970,19",40,2
2024-01-01T00:06:39+00:00,41,"78,44","76,69","970,18",40,2
2024-01-01T00:06:49+00:00,42,"78,44","76,69","970,19",40,2
2024-01-01T00:06:59+00:00,43,"78,5","76,69","970,18",40,2
2024-01-01T00:07:09+00:00,44,"78,5","76,69","970,18",40,2
2024-01-01T00:07:19+00:00,45,"78,5","76,75","970,18",40,2
2024-01-01T00:07:29+00:00,46,"78,5","76,75","970,18",40,2
2024-01-01T00:07:38+00:00,47,"78,56","76,75","970,18",40,2
2024-01-01T00:07:48+00:00,48,"78,56","76,75","970,18",40,2
2024-01-01T00:07:58+00:00,49,"78,56","76,75","970,17",40,2
2024-01-01T00:08:08+00:00,50,"78,56","76,81","970,15",40,2
2024-01-01T00:08:18+00:00,51,"78,56","76,75","970,13",40,2
2024-01-01T00:08:28+00:00,52,"78,63","76,75","970,14",40,2
2024-01-01T00:08:38+00:00,53,"78,63","76,81","970,16",40,2
2024-01-01T00:08:48+00:00,54,"78,63","76,81","970,15",40,2
2024-01-01T00:08:58+00:00,55,"78,63","76,81","970,14",40,2
2024-01-01T00:09:08+00:00,56,"78,63","76,81","970,13",40,2
2024-01-01T00:09:18+00:00,57,"78,63","76,81","970,13",40,2
2024-01-01T00:09:28+00:00,58,"78,63","76,81","970,12",40,2
2024-01-01T00:09:38+00:00,59,"78,69","76,81","970,13",40,2
2024-01-01T00:09:48+00:00,60,"78,69","76,81","970,13",40,2
2024-01-01T00:09:58+00:00,61,"78,69","76,81","970,14",40,2
2024-01-01T00:10:08+00:00,62,"78,69","76,81","970,14",40,2
2024-01-01T00:10:18+00:00,63,"78,69","76,88","970,15",40,2
2024-01-01T00:10:28+00:00,64,"78,69","76,88","970,14",40,2
2024-01-01T00:10:38+00:00,65,"78,75","76,88","970,15",40,2
2024-01-01T00:10:48+00:00,66,"78,75","76,88","970,15",40,2
2024-01-01T00:10:58+00:00,67,"78,75","76,88","970,15",40,2
2024-01-01T00:11:08+00:00,68,"78,75","76,88","970,14",40,2
2024-01-01T00:11:18+00:00,69,"78,75","76,94","970,15",40,2
2024-01-01T00:11:28+00:00,70,"78,81","76,94","970,16",40,2
2024-01-01T00:11:38+00:00,71,"78,81","76,94","970,17",40,2
2024-01-01T00:11:48+00:00,72,"78,81","76,94","970,17",40,2
2024-01-01T00:11:58+00:00,73,"78,81","76,94","970,17",40,2
2024-01-01T00:12:08+00:00,74,"78,88",77,"970,16",40,2
2024-01-01T00:12:18+00:00,75,"78,88",77,"970,15",40,2
2024-01-01T00:12:28+00:00,76,"78,88",77,"970,15",40,2
2024-01-01T00:12:38+00:00,77,"78,88",77,"970,14",40,2
2024-01-01T00:12:47+00:00,78,"78,94","77,06","970,13",40,2
2024-01-01T00:12:58+00:00,79,"78,94","77,06","970,13",40,2
2024-01-01T00:13:07+00:00,80,"78,94","77,06","970,13",40,2
2024-01-01T00:13:17+00:00,81,79,"77,06","970,11",40,2
2024-01-01T00:13:27+00:00,82,79,"77,13","970,1",40,2
2024-01-01T00:13:37+00:00,83,79,"77,13","970,1",40,2
2024-01-01T00:13:47+00:00,84,79,"77,13","970,07",40,2
2024-01-01T00:13:57+00:00,85,79,"77,13","970,06",40,2
2024-01-01T00:14:07+00:00,86,79,"77,19","970,1",40,2
2024-01-01T00:14:17+00:00,87,79,"77,19","970,09",40,2
2024-01-01T00:14:27+00:00,88,"79,06","77,25","970,07",40,2
2024-01-01T00:14:37+00:00,89,"79,06","77,25","970,07",40,2
2024-01-01T00:14:47+00:00,90,"79,06","77,31","970,08",40,2
2024-01-01T00:14:57+00:00,91,"79,06","77,31","970,07",40,2
2024-01-01T00:15:07+00:00,92,"79,13","77,31","970,08",40,2
2024-01-01T00:15:17+00:00,93,"79,13","77,38","970,07",40,2
2024-01-01T00:15:27+00:00,94,"79,13","77,38","970,07",40,2
2024-01-01T00:15:37+00:00,95,"79,19","77,44","970,05",40,2
2024-01-01T00:15:47+00:00,96,"79,19","77,44","970,05",40,2
2024-01-01T00:15:57+00:00,97,"79,19","77,5","970,06",40,2
2024-01-01T00:16:07+00:00,98,"79,19","77,5","970,08",40,2
2024-01-01T00:16:17+00:00,99,"79,19","77,56","970,07",40,2
2024-01-01T00:16:27+00:00,100,"79,25","77,56","970,06",40,2
2024-01-01T00:16:37+00:00,101,"79,19","77,63","970,07",0,2
2024-01-01T00:16:47+00:00,102,"79,25","77,63","970,08",0,2
2024-01-01T00:16:57+00:00,103,"79,25","77,56","970,09",0,2
2024-01-01T00:17:07+00:00,104,"79,25","77,56","970,08",0,2
2024-01-01T00:17:16+00:00,105,"79,25","77,56","970,09",0,2
2024-01-01T00:17:26+00:00,106,"79,19","77,44","970,08",0,2
2024-01-01T00:17:37+00:00,107,"79,19","77,38","970,08",0,2
2024-01-01T00:17:47+00:00,108,"79,19","77,25","970,07",0,2
2024-01-01T00:17:56+00:00,109,"79,19","77,19","970,09",0,2
2024-01-01T00:18:06+00:00,110,"79,19","77,06","970,09",0,2
2024-01-01T00:18:16+00:00,111,"79,19",77,"970,11",0,2
2024-01-01T00:18:26+00:00,112,"79,19","76,94","970,11",0,2
2024-01-01T00:18:36+00:00,113,"79,25","76,88","970,12",0,2
2024-01-01T00:18:46+00:00,114,"79,19","76,81","970,14",0,2
2024-01-01T00:18:56+00:00,115,"79,19","76,75","970,16",0,2
2024-01-01T00:19:06+00:00,116,"79,19","76,69","970,18",0,2
2024-01-01T00:19:16+00:00,117,"79,19","76,69","970,19",0,2
2024-01-01T00:19:26+00:00,118,"79,19","76,63","970,2",0,2
2024-01-01T00:19:36+00:00,119,"79,19","76,56","970,2",0,2
2024-01-01T00:19:46+00:00,120,"79,13","76,5","970,2",0,2
2024-01-01T00:19:56+00:00,121,"79,13","76,5","970,19",38,2
2024-01-01T00:20:06+00:00,122,"79,06","76,5","970,14",38,2
2024-01-01T00:20:16+00:00,123,"79,06","76,44","970,14",38,2
2024-01-01T00:20:26+00:00,124,"79,06","76,44","970,14",38,2
2024-01-01T00:20:36+00:00,125,79,"76,44","970,13",38,2
2024-01-01T00:20:46+00:00,126,79,"76,44","970,13",38,2
2024-01-01T00:20:56+00:00,127,79,"76,44","970,13",38,2
2024-01-01T00:21:06+00:00,128,79,"76,44","970,13",38,2
2024-01-01T00:21:16+00:00,129,79,"76,44","970,12",38,2
2024-01-01T00:21:26+00:00,130,79,"76,38","970,11",38,2
2024-01-01T00:21:36+00:00,131,"79,06","76,38","970,11",38,2
2024-01-01T00:21:46+00:00,132,"79,06","76,38","970,12",38,2
2024-01-01T00:21:56+00:00,133,"79,13","76,38","970,12",38,2
2024-01-01T00:22:06+00:00,134,"79,13","76,38","970,13",38,2
2024-01-01T00:22:16+00:00,135,"79,19","76,38","970,14",38,2
2024-01-01T00:22:26+00:00,136,"79,19","76,38","970,14",38,2
2024-01-01T00:22:36+00:00,137,"79,25","76,44","970,14",38,2
2024-01-01T00:22:46+00:00,138,"79,25","76,44","970,13",38,2
2024-01-01T00:22:56+00:00,139,"79,31","76,44","970,14",38,2
2024-01-01T00:23:05+00:00,140,"79,38","76,44","970,14",38,2
2024-01-01T00:23:15+00:00,141,"79,38","76,5","970,11",38,2
2024-01-01T00:23:25+00:00,142,"79,38","76,5","970,11",38,2
2024-01-01T00:23:35+00:00,143,"79,38","76,5","970,12",38,2
2024-01-01T00:23:45+00:00,144,"79,44","76,5","970,12",38,2
2024-01-01T00:23:55+00:00,145,"79,44","76,5","970,12",38,2
2024-01-01T00:24:05+00:00,146,"79,5","76,56","970,12",38,2
2024-01-01T00:24:15+00:00,147,"79,5","76,56","970,1",38,2
2024-01-01T00:24:25+00:00,148,"79,5","76,56","970,11",38,2
2024-01-01T00:24:35+00:00,149,"79,56","76,63","970,1",38,2
2024-01-01T00:24:45+00:00,150,"79,56","76,63","970,12",38,2
2024-01-01T00:24:55+00:00,151,"79,56","76,63","970,12",38,2
2024-01-01T00:25:05+00:00,152,"79,63","76,69","970,12",38,2
2024-01-01T00:25:15+00:00,153,"79,63","76,69","970,11",38,2
2024-01-01T00:25:25+00:00,154,"79,63","76,69","970,1",38,2
2024-01-01T00:25:35+00:00,155,"79,69","76,69","970,1",38,2
2024-01-01T00:25:45+00:00,156,"79,69","76,75","970,11",38,2
2024-01-01T00:25:55+00:00,157,"79,69","76,75","970,11",38,2
2024-01-01T00:26:05+00:00,158,"79,75","76,75","970,11",38,2
2024-01-01T00:26:15+00:00,159,"79,75","76,81","970,1",38,2
2024-01-01T00:26:25+00:00,160,"79,75","76,81","970,11",38,2
2024-01-01T00:26:35+00:00,161,"79,81","76,81","970,11",38,2
2024-01-01T00:26:45+00:00,162,"79,81","76,88","970,1",38,2
2024-01-01T00:26:55+00:00,163,"79,81","76,88","970,09",38,2
2024-01-01T00:27:05+00:00,164,"79,81","76,94","970,09",38,2
2024-01-01T00:27:15+00:00,165,"79,88",77,"970,08",38,2
2024-01-01T00:27:25+00:00,166,"79,88",77,"970,07",38,2
2024-01-01T00:27:35+00:00,167,"79,88","77,06","970,08",38,2
2024-01-01T00:27:45+00:00,168,"79,94","77,06","970,08",38,2
2024-01-01T00:27:55+00:00,169,"79,94","77,13","970,06",38,2
2024-01-01T00:28:05+00:00,170,"79,94","77,19","970,06",38,2
2024-01-01T00:28:14+00:00,171,"79,94","77,25","970,05",38,2
2024-01-01T00:28:24+00:00,172,80,"77,31","970,07",38,2
2024-01-01T00:28:34+00:00,173,80,"77,31","970,07",38,2
2024-01-01T00:28:44+00:00,174,80,"77,38","970,08",38,2
2024-01-01T00:28:54+00:00,175,80,"77,5","970,08",38,2
2024-01-01T00:29:04+00:00,176,80,"77,56","970,08",38,2
2024-01-01T00:29:14+00:00,177,80,"77,69","970,09",0,2
2024-01-01T00:29:24+00:00,178,80,"77,75","970,09",0,2
2024-01-01T00:29:34+00:00,179,"80,06","77,69","970,09",0,2
2024-01-01T00:29:44+00:00,180,"80,06","77,69","970,09",0,2
2024-01-01T00:29:54+00:00,181,"80,06","77,63","970,08",0,2
2024-01-01T00:30:04+00:00,182,"80,06","77,5","970,07",0,2
2024-01-01T00:30:14+00:00,183,"80,13","77,44","970,08",0,2
2024-01-01T00:30:24+00:00,184,"80,13","77,31","970,07",0,2
2024-01-01T00:30:34+00:00,185,"80,19","77,25","970,07",0,2
2024-01-01T00:30:44+00:00,186,"80,19","77,13","970,05",0,2
2024-01-01T00:30:54+00:00,187,"80,25","77,06","970,05",0,2
2024-01-01T00:31:04+00:00,188,"80,25","76,94","970,04",0,2
2024-01-01T00:31:14+00:00,189,"80,25","76,88","970,04",0,2
2024-01-01T00:31:24+00:00,190,"80,25","76,81","970,05",0,2
2024-01-01T00:31:34+00:00,191,"80,25","76,75","970,05",0,2
2024-01-01T00:31:44+00:00,192,"80,25","76,69","970,03",0,2
2024-01-01T00:31:54+00:00,193,"80,19","76,69","970,03",0,2
2024-01-01T00:32:04+00:00,194,"80,19","76,63","970,04",0,2
2024-01-01T00:32:14+00:00,195,"80,19","76,56","970,04",0,2
2024-01-01T00:32:24+00:00,196,"80,19","76,56","970,03",0,2
2024-01-01T00:32:34+00:00,197,"80,13","76,5","970,03",36,2
2024-01-01T00:32:44+00:00,198,"80,13","76,5","970,03",36,2
2024-01-01T00:32:54+00:00,199,"80,13","76,44","970,04",36,2
2024-01-01T00:33:04+00:00,200,"80,06","76,44","970,04",36,2
2024-01-01T00:33:14+00:00,201,"80,06","76,44","970,02",36,2
2024-01-01T00:33:24+00:00,202,"80,06","76,44","970,02",36,2
2024-01-01T00:33:34+00:00,203,"80,13","76,38","970,03",36,2
2024-01-01T00:33:44+00:00,204,"80,13","76,38","970,02",36,2
2024-01-01T00:33:53+00:00,205,"80,19","76,38","970,02",36,2
2024-01-01T00:34:03+00:00,206,"80,19","76,38","970,03",36,2
2024-01-01T00:34:13+00:00,207,"80,25","76,38","970,03",36,2
2024-01-01T00:34:23+00:00,208,"80,25","76,38","970,03",36,2
2024-01-01T00:34:33+00:00,209,"80,31","76,38","970,02",36,2
2024-01-01T00:34:43+00:00,210,"80,31","76,38","970,03",36,2
2024-01-01T00:34:53+00:00,211,"80,38","76,38","970,03",36,2
2024-01-01T00:35:03+00:00,212,"80,38","76,44","970,03",36,2
2024-01-01T00:35:13+00:00,213,"80,44","76,38","970,02",36,2
2024-01-01T00:35:23+00:00,214,"80,44","76,44","970,01",36,2
2024-01-01T00:35:33+00:00,215,"80,5","76,44","970,01",36,2
2024-01-01T00:35:43+00:00,216,"80,5","76,44",970,36,2
2024-01-01T00:35:53+00:00,217,"80,56","76,5",970,36,2
2024-01-01T00:36:03+00:00,218,"80,56","76,5",970,36,2
2024-01-01T00:36:13+00:00,219,"80,63","76,5","969,99",36,2
2024-01-01T00:36:23+00:00,220,"80,63","76,5","969,99",36,2
2024-01-01T00:36:33+00:00,221,"80,69","76,56",970,36,2
2024-01-01T00:36:43+00:00,222,"80,69","76,56","969,99",36,2
2024-01-01T00:36:53+00:00,223,"80,75","76,63","969,95",36,2
2024-01-01T00:37:03+00:00,224,"80,75","76,63","969,96",36,2
2024-01-01T00:37:13+00:00,225,"80,75","76,69","969,94",36,2
2024-01-01T00:37:23+00:00,226,"80,81","76,69","969,93",36,2
2024-01-01T00:37:33+00:00,227,"80,81","76,75","969,92",36,2
2024-01-01T00:37:43+00:00,228,"80,88","76,75","969,93",36,2
2024-01-01T00:37:53+00:00,229,"80,88","76,81","969,93",36,2
2024-01-01T00:38:03+00:00,230,"80,88","76,88","969,92",36,2
2024-01-01T00:38:13+00:00,231,"80,88","76,88","969,92",36,2
2024-01-01T00:38:23+00:00,232,"80,94","76,94","969,92",36,2
2024-01-01T00:38:33+00:00,233,"80,94",77,"969,92",36,2
2024-01-01T00:38:43+00:00,234,"80,94","77,06","969,92",36,2
2024-01-01T00:38:53+00:00,235,"80,94","77,13","969,91",36,2
2024-01-01T00:39:03+00:00,236,81,"77,19","969,92",36,2
2024-01-01T00:39:12+00:00,237,81,"77,25","969,91",36,2
2024-01-01T00:39:22+00:00,238,81,"77,38","969,91",36,2
2024-01-01T00:39:32+00:00,239,"81,06","77,5","969,89",36,2
2024-01-01T00:39:42+00:00,240,"81,06","77,56","969,89",36,2
2024-01-01T00:39:52+00:00,241,"81,06","77,69","969,9",0,2
2024-01-01T00:40:02+00:00,242,"81,13","77,81","969,9",0,2
2024-01-01T00:40:12+00:00,243,"81,13","77,81","969,89",0,2
2024-01-01T00:40:22+00:00,244,"81,19","77,81","969,89",0,2
2024-01-01T00:40:32+00:00,245,"81,19","77,69","969,89",0,2
2024-01-01T00:40:42+00:00,246,"81,19","77,63","969,9",0,2
2024-01-01T00:40:52+00:00,247,"81,25","77,5","969,89",0,2
2024-01-01T00:41:02+00:00,248,"81,25","77,38","969,89",0,2
